Location,Item Number,Qty On Hand
356583,M2GPKD6NTAGP600R59,38.7
356583,M2GPKD6NTAGP600R59,36.3
356583,M2GPKD6NTAGP600R59,37.5
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39.1
356583,M2GPKD6NTAGP600R59,40.4
356583,M2GPKD6NTAGP600R59,39.6
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,40.3
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,40.4
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39.3
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39.1
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39.9
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39.9
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,39.9
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,41.2
356583,M2GPKD6NTAGP600R59,32
356583,M2GPKD6NTAGP600R59,34
356583,M2GPKD6NTAGP600R59,38
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,51.1
356583,M2GPKD6NTAGP600R59,49.9
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,49.4
356583,M2GPKD6NTAGP600R59,50
356583,M2GPKD6NTAGP600R59,22
356583,M2GPKD6NTAGP600R59,49.66
356583,M3GWCDCSM7309X62,150
,,
p 8056,,ventory Detai
8,,
,,
,,
Location,Item Number,Qty On Hand
--------,------------------,------------
356583,M3GWCDCSM7309X62,152
356583,M3GWCDCSM7309X62,150
356583,M3GWCDCSM7309X62,150
356583,M3GWCDCSM7309X62,150
356583,M3GWCDCSM7309X62,152
356583,M3GWCDCSM7309X62,150
,,
502372,190562,1500
502372,255S5-184D,9192
502372,L001449870U52AA,9192
502372,L002312378NCPAA,8400
502372,L002312379NCPAC,5625
502372,L002316235NCPAB,8000
502372,L002401092NCPAA,7000
502372,L002866832NCPAA,35000
502372,L002866833NCPAA,33600
